Resource dump:
------------
id:  Name:          Offset:  Size:    Lck T Pointer: File:
---- -------------- -------- -------- --- - -------- -----
ReS  ImHit1               14     8158   0 D 00000000 0
ReS  ImHit2             8172     4454   0 D 00000000 0
ReS  mix1.snd          12626    65280   0 D 00000000 0
ReS  snd#1             77906    65280   0 D 00000000 0
ReS  snd#10           143186     2416   0 D 00000000 0
ReS  snd#11           145602     5606   0 D 00000000 0
ReS  snd#12           151208     5302   0 D 00000000 0
ReS  snd#13           156510    34986   0 D 00000000 0
ReS  snd#14           191496    37758   0 D 00000000 0
ReS  snd#15           229254    37206   0 D 00000000 0
ReS  snd#16           266460    45328   0 D 00000000 0
ReS  snd#17           311788    29164   0 D 00000000 0
ReS  snd#18           340952     8678   0 D 00000000 0
ReS  snd#19           349630    23506   0 D 00000000 0
ReS  snd#2            373136    12526   0 D 00000000 0
ReS  snd#20           385662    43130   0 D 00000000 0
ReS  snd#21           428792    12016   0 D 00000000 0
ReS  snd#22           440808    22696   0 D 00000000 0
ReS  snd#23           463504     7514   0 D 00000000 0
ReS  snd#24           471018     5624   0 D 00000000 0
ReS  snd#25           476642     9090   0 D 00000000 0
ReS  snd#26           485732     5686   0 D 00000000 0
ReS  snd#27           491418     4420   0 D 00000000 0
ReS  snd#28           495838     4776   0 D 00000000 0
ReS  snd#29           500614    12368   0 D 00000000 0
ReS  snd#3            512982    61369   0 D 00000000 0
ReS  snd#30           574351     7184   0 D 00000000 0
ReS  snd#31           581535     6752   0 D 00000000 0
ReS  snd#32           588287    12144   0 D 00000000 0
ReS  snd#4            600431    47872   0 D 00000000 0
ReS  snd#5            648303     6168   0 D 00000000 0
ReS  snd#6            654471     5362   0 D 00000000 0
ReS  snd#7            659833     3518   0 D 00000000 0
ReS  snd#8            663351    45054   0 D 00000000 0
ReS  snd#9            708405     2416   0 D 00000000 0
