Opening file objdesc2.res
Reading DES00011.TXT ...
Reading DES00012.TXT ...
Reading DES00013.TXT ...
Reading DES00014.TXT ...
Reading DES00015.TXT ...
Reading DES00016.TXT ...
Reading DES00017.TXT ...
Reading DES00018.TXT ...
Reading DES00019.TXT ...
Reading DES00020.TXT ...
Reading DES00021.TXT ...
Reading DES00022.TXT ...
Reading DES00023.TXT ...
Reading DES00024.TXT ...
Reading DES00025.TXT ...
Reading DES00026.TXT ...
Reading DES00027.TXT ...
Reading DES00028.TXT ...
Reading DES00029.TXT ...
Reading DES00030.TXT ...
Reading DES00031.TXT ...
Reading DES00032.TXT ...
Reading DES00033.TXT ...
Reading DES00034.TXT ...
Reading DES00035.TXT ...
Reading DES00036.TXT ...
Reading DES00037.TXT ...
Reading DES00038.TXT ...
Reading DES00039.TXT ...
Reading DES00040.TXT ...
Reading DES00041.TXT ...
Reading DES00042.TXT ...
Reading DES00043.TXT ...
Reading DES00044.TXT ...
Reading DES00045.TXT ...
Reading DES00046.TXT ...
Reading DES00047.TXT ...
Reading DES00048.TXT ...
Reading DES00049.TXT ...
Reading DES00050.TXT ...
Reading DES00051.TXT ...
Reading DES00052.TXT ...
Reading DES00053.TXT ...
Reading DES00054.TXT ...
Reading DES00055.TXT ...
Reading DES00056.TXT ...
Reading DES00057.TXT ...
Reading DES00058.TXT ...
Reading DES00059.TXT ...
Reading DES00060.TXT ...
Reading DES00061.TXT ...
Reading DES00062.TXT ...
Reading DES00063.TXT ...
Reading DES00064.TXT ...
Reading DES00065.TXT ...
Reading DES00066.TXT ...
Reading DES00067.TXT ...
Reading DES00068.TXT ...
Reading DES00069.TXT ...
Reading DES00070.TXT ...
Reading DES00071.TXT ...
Reading DES00072.TXT ...
Reading DES00077.TXT ...
Reading DES00078.TXT ...
Reading DES00079.TXT ...
Reading DES00080.TXT ...
Reading DES00081.TXT ...
Reading DES00088.TXT ...
Reading DES00089.TXT ...
Reading DES00100.TXT ...
Reading DES00101.TXT ...
Reading DES00102.TXT ...
Reading DES00103.TXT ...
Reading DES00104.TXT ...
Reading DES00105.TXT ...
Reading DES00106.TXT ...
Reading DES00107.TXT ...
Reading DES00108.TXT ...
Reading DES00109.TXT ...
Reading DES00110.TXT ...
Reading DES00111.TXT ...
Reading DES00112.TXT ...
Reading DES00113.TXT ...
Reading DES00114.TXT ...
Reading DES00115.TXT ...
Reading DES00116.TXT ...
Reading DES00117.TXT ...
Reading DES00118.TXT ...
Reading DES00119.TXT ...
Reading DES00120.TXT ...
Reading DES00121.TXT ...
Reading DES00122.TXT ...
Reading DES00123.TXT ...
Reading DES00124.TXT ...
Reading DES00125.TXT ...
Reading DES00126.TXT ...
Reading DES00127.TXT ...
Reading DES00128.TXT ...
Reading DES00129.TXT ...
Reading DES00130.TXT ...
Reading DES00131.TXT ...
Reading DES00132.TXT ...
Reading DES00133.TXT ...
Reading DES00134.TXT ...
Reading DES00135.TXT ...
Reading DES00136.TXT ...
Reading DES00137.TXT ...
Reading DES00138.TXT ...
Reading DES00139.TXT ...
Reading DES00140.TXT ...
Reading DES00141.TXT ...
Reading DES00142.TXT ...
Reading DES00143.TXT ...
Reading DES00144.TXT ...
Reading DES00145.TXT ...
Reading DES00146.TXT ...
Reading DES00147.TXT ...
Reading DES00148.TXT ...
Reading DES00149.TXT ...
Reading DES00150.TXT ...
Reading DES00151.TXT ...
Reading DES00200.TXT ...
Reading DES00201.TXT ...
Reading DES00202.TXT ...
Reading DES00203.TXT ...
Reading DES00204.TXT ...
Reading DES00205.TXT ...
Reading DES00206.TXT ...
Reading DES00210.TXT ...
Reading DES00211.TXT ...
Reading DES00212.TXT ...
Reading DES00213.TXT ...
Reading DES00214.TXT ...
Reading DES00215.TXT ...
