Opening file credesc.res
Reading DES00088.TXT ...
Reading DES00089.TXT ...
Reading DES01001.TXT ...
Reading DES01002.TXT ...
Reading DES01003.TXT ...
Reading DES01005.TXT ...
Reading DES01006.TXT ...
Reading DES01007.TXT ...
Reading DES01008.TXT ...
Reading DES01009.TXT ...
Reading DES01010.TXT ...
Reading DES01011.TXT ...
Reading DES01012.TXT ...
Reading DES01014.TXT ...
Reading DES01015.TXT ...
Reading DES01016.TXT ...
Reading DES01017.TXT ...
Reading DES01018.TXT ...
Reading DES01019.TXT ...
Reading DES01020.TXT ...
Reading DES01021.TXT ...
Reading DES01022.TXT ...
Reading DES01023.TXT ...
Reading DES01024.TXT ...
Reading DES01025.TXT ...
Reading DES01026.TXT ...
Reading DES01032.TXT ...
Reading DES01033.TXT ...
Reading DES01034.TXT ...
Reading DES01035.TXT ...
Reading DES01036.TXT ...
Reading DES01037.TXT ...
Reading DES01040.TXT ...
Reading DES03000.TXT ...
Reading DES03001.TXT ...
Reading DES03002.TXT ...
Reading DES03003.TXT ...
Reading DES04080.TXT ...
Reading DES16368.TXT ...
Reading DES24560.TXT ...
Reading DES33787.TXT ...
Reading DES33803.TXT ...
Reading DES37883.TXT ...
Reading DES37886.TXT ...
Reading DES46075.TXT ...
Reading DES50158.TXT ...
Reading DES54268.TXT ...
Reading DESD~1.TXT ...
Reading DESD~1.TXT ...
Total:  49 indexes
