Opening file HEAD001.res
Reading RATHLM15.CPC ...
Reading RATHLM16.CPC ...
Reading RATHLM13.CPC ...
Reading RATHLM14.CPC ...
Reading RATHLM11.CPC ...
Reading RATHLM12.CPC ...
Reading RATHLM09.CPC ...
Reading RATHLM10.CPC ...
Reading RATHLM07.CPC ...
Reading RATHLM08.CPC ...
Reading RATHLM05.CPC ...
Reading RATHLM06.CPC ...
Reading RATHLM03.CPC ...
Reading RATHLM04.CPC ...
Reading RATHLM01.CPC ...
Reading RATHLM02.CPC ...
Reading RWKHLM43.CPC ...
Reading RWKHLM44.CPC ...
Reading RWKHLM45.CPC ...
Reading RWKHLM46.CPC ...
Reading RWKHLM47.CPC ...
Reading RWKHLM48.CPC ...
Reading RWKHLM37.CPC ...
Reading RWKHLM38.CPC ...
Reading RWKHLM39.CPC ...
Reading RWKHLM40.CPC ...
Reading RWKHLM41.CPC ...
Reading RWKHLM42.CPC ...
Reading RWKHLM31.CPC ...
Reading RWKHLM32.CPC ...
Reading RWKHLM33.CPC ...
Reading RWKHLM34.CPC ...
Reading RWKHLM35.CPC ...
Reading RWKHLM36.CPC ...
Reading RWKHLM25.CPC ...
Reading RWKHLM26.CPC ...
Reading RWKHLM27.CPC ...
Reading RWKHLM28.CPC ...
Reading RWKHLM29.CPC ...
Reading RWKHLM30.CPC ...
Reading RWKHLM19.CPC ...
Reading RWKHLM20.CPC ...
Reading RWKHLM21.CPC ...
Reading RWKHLM22.CPC ...
Reading RWKHLM23.CPC ...
Reading RWKHLM24.CPC ...
Reading RWKHLM13.CPC ...
Reading RWKHLM14.CPC ...
Reading RWKHLM15.CPC ...
Reading RWKHLM16.CPC ...
Reading RWKHLM17.CPC ...
Reading RWKHLM18.CPC ...
Reading RWKHLM07.CPC ...
Reading RWKHLM08.CPC ...
Reading RWKHLM09.CPC ...
Reading RWKHLM10.CPC ...
Reading RWKHLM11.CPC ...
Reading RWKHLM12.CPC ...
Reading RWKHLM01.CPC ...
Reading RWKHLM02.CPC ...
Reading RWKHLM03.CPC ...
Reading RWKHLM04.CPC ...
Reading RWKHLM05.CPC ...
Reading RWKHLM06.CPC ...
Reading RDIHLM29.CPC ...
Reading RDIHLM30.CPC ...
Reading RDIHLM31.CPC ...
Reading RDIHLM32.CPC ...
Reading RDIHLM25.CPC ...
Reading RDIHLM26.CPC ...
Reading RDIHLM27.CPC ...
Reading RDIHLM28.CPC ...
Reading RDIHLM21.CPC ...
Reading RDIHLM22.CPC ...
Reading RDIHLM23.CPC ...
Reading RDIHLM24.CPC ...
Reading RDIHLM17.CPC ...
Reading RDIHLM18.CPC ...
Reading RDIHLM19.CPC ...
Reading RDIHLM20.CPC ...
Reading RDIHLM13.CPC ...
Reading RDIHLM14.CPC ...
Reading RDIHLM15.CPC ...
Reading RDIHLM16.CPC ...
Reading RDIHLM09.CPC ...
Reading RDIHLM10.CPC ...
Reading RDIHLM11.CPC ...
Reading RDIHLM12.CPC ...
Reading RDIHLM05.CPC ...
Reading RDIHLM06.CPC ...
Reading RDIHLM07.CPC ...
Reading RDIHLM08.CPC ...
Reading RDIHLM01.CPC ...
Reading RDIHLM02.CPC ...
Reading RDIHLM03.CPC ...
Reading RDIHLM04.CPC ...
Reading HEAD001.oaf ...
Total:  97 indexes
