00012,tomato,"Tomato [+25 food]",0.5,kg,"3 cp"
00016,bucket,"Wooden Bucket",0.5,kg,"5 cp"
00019,greenapp,"Green Apple [+25 food]",0.5,kg,"3 cp"
00023,swpplt01,"Small Swamp Weed [-5 health +25 food]",4.0,kg,"0"
00028,xbow,"Crossbow",5.0,kg,"4 gp"
00054,bottleem,"Empty Bottle     ",0.3,kg,"5 cp"
00055,bottlefl,"Bottle Holding a Useless Substance",0.5,kg,"5 cp"
00059,jaw,"Jaw Bone",0.1,kg,"0"
00060,pouch,"Pouch",0.1,kg,"1 cp"
00061,scrollcl,"Scroll ",0.1,kg,"0"
00062,scrollop,"Useless Scroll",0.1,kg,"0"
00063,shroom,"Mushroom [-5 health, +5 mana]",0.1,kg,"3 cp"
00065,skull,"Skull",0.5,kg,"0"
00071,skullfrg,"Skull",0.5,kg,"0"
00072,stone,"Small Stone",0.5,kg,"0"
00077,rball1,"Small Bouncy Ball",4.0,kg,"5 sp"
00078,rball2,"Large Bouncy Ball",4.0,kg,"5 sp"
00100,ccoin1,"Copper Coin",0.0,kg,"1 cp"
00101,ccoin5,"Copper Five-Coin",0.0,kg,"5 cp"
00102,scoin1,"Silver Coin",0.0,kg,"1 sp"
00103,scoin5,"Silver Five-Coin",0.0,kg,"5 sp"
00104,gcoin1,"Gold Coin",0.0,kg,"1 gp"
00105,gcoin5,"Gold Five-Coin",0.0,kg,"5 gp"
00106,pcoin1,"platinum coin",0.0,kg,"1 pp"
00107,pcoin5,"Platinum Five-Coin",0.0,kg,"5 pp"
00110,gem1,"Diamond",0.0,kg,"15 pp"
00111,gem2,"Emerald",0.0,kg,"5 pp"
00112,gem3,"Ruby",0.0,kg,"9 pp"
00113,gem4,"Amethyst",0.0,kg,"25 gp"
00114,smvase,"Small Vase",0.4,kg,"3 cp"
00115,bgvase,"Large Vase",3.0,kg,"5 cp"
00116,glass,"Wine Glass",0.2,kg,"5 gp"
00117,chest,"Chest Full of Gold",0.0,kg,"10 pp"
00118,flask,"White Flask",1.5,kg,"4 cp"
00119,pobot,"Useless Bottle",1.5,kg,"4 cp"
00143,rtools,"Thieving Tools",0.1,kg,"1 gp"
00144,quiver,"Quiver of Bolts",0.5,kg,"6 sp"
00145,quivfi,"Quiver of Fire Bolts",0.0,kg,"12 gp"
00146,quivpo,"Quiver of Poison Bolts",0.0,kg,"12 gp"
00147,quivac,"Quiver of Piercing Bolts",0.0,kg,"12 gp"
00148,quivpi,"Quiver of Acid Bolts",0.0,kg,"12 gp"
00149,quivel,"Quiver of Electric Bolts",0.0,kg,"12 gp"
00150,quivmd,"Quiver of Mana Drain Bolts",0.0,kg,"12 gp"
00200,dagger,"Iron Dagger [3 dmg]",0.5,kg,"1 gp"
00201,mace,"Iron Mace [5 dmg]",2.0,kg,"2 gp"
00202,staff,"Iron Shod Staff [4 dmg]",3.0,kg,"15 sp"
00203,stswd,"Iron Short Sword [5 dmg]",1.0,kg,"2 gp"
00204,lgswd,"Iron Long Sword [6 dmg]",2.0,kg,"6 gp"
00205,axe,"Iron Axe [5.5 dmg]",4.0,kg,"6 gp"
00206,xbowbolt,"Iron Bolt [5 dmg]",0.0,kg,"5 cp"
00210,dagstri,"Fang Blade [7 dmg]",0.5,kg,"5 pp"
00211,stswstri,"The Razor [9 dmg]",1.0,kg,"10 pp"
00212,lgswstri,"DiamondEdge [10 dmg]",2.0,kg,"20 pp"
00213,xbowbolt,"Bolts of Striking",0.0,kg,"5 cp"
00214,dagsli,"Flameblade [6 fire dmg]",0.5,kg,"5 pp"
00215,dagpir,"Azok's Penetrator [6 pierce dmg]",0.5,kg,"6 pp"
00216,stswdpir,"SpiritBane [8 pierce dmg]",1.0,kg,"15 pp"
00217,lgswdpir,"Sword of Justice [9 pierce dmg]",2.0,kg,"25 pp"
00218,boltpir,"Bolts of Fire [5 Fire dmg]",0.0,kg,"1 gp"
00219,staffpoi,"The Sickener [6 poison dmg]",2.5,kg,"75 gp"
00220,dagpoi,"BloodRot [5 poison dmg]",0.5,kg,"85 gp"
00221,stswdpoi,"Venom [7 poison dmg]",1.0,kg,"8 pp"
00222,boltpoi,"Bolts of Poison [5 poison dmg]",0.0,kg,"1 gp"
00223,dagspe,"WindBite [5 dmg, +20 spd]",0.5,kg,"7 pp"
00224,macespe,"Joh's Bludgeon [7 dmg, +30 spd]",2.0,kg,"12 pp"
00225,staffspe,"Schtick [7 dmg, +30 spd]",2.5,kg,"11 pp"
00226,lgswdspe,"Vindicator [8 dmg, +20 spd]",2.0,kg,"14 pp"
00227,dagacc,"SoulSeeker [5 dmg, +15 acc]",0.5,kg,"85 gp"
00228,axeac,"Vitreaxe [7.5 dmg, +15 acc]",4.0,kg,"135 gp"
00229,boltwht,"Bolts of Piercing [5 pierce dmg]",0.0,kg,"1 gp"
00230,dagacid,"WormTooth [6 acid dmg]",0.5,kg,"65 gp"
00231,macepoi,"Mace of Venom [5 poison dmg]",2.0,kg,"13 pp"
00232,axepow,"Asnoth [6.5 dmg, +25 mregen]",4.0,kg,"22 pp"
00233,staffpow,"Staff of Power [6 dmg, +25 magic]",2.5,kg,"17 pp"
00234,maceelec,"Lightning Rod [5 elec dmg.]",2.0,kg,"5 pp"
